Country,Date,Player,Pos,PKwon,OG,Save%,Pk SO scorer,GK PK SO saves,Mins,Gls,Ast,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,GA,Saves,Total 90s,Gls_per_90,Ast_per_90,Shots_per_90,SoT_per_90,CrdY_per_90,CrdR_per_90,GA_per_90,Saves_per_90
Germany,2021-09-02,Timo Werner,FW,0.0,0,0.0,0.0,0.0,1276,9,2,0,0,33.0,20.0,2.0,1,0,22.0,0.0,14.177777777777777,0.6347962382445141,0.14106583072100315,2.327586206896552,1.4106583072100314,0.07053291536050157,0.0,1.5517241379310345,0.0
Germany,2021-09-02,Leroy Sané,AM,0.0,0,0.0,0.0,0.0,2717,8,5,0,0,46.0,18.0,13.0,4,1,55.0,0.0,30.18888888888889,0.26499815973500185,0.16562384983437614,1.5237394184762605,0.5962458594037541,0.13249907986750092,0.03312476996687523,1.8218623481781375,0.0
Germany,2021-09-02,Kai Havertz,AM,0.0,0,0.0,0.0,0.0,3017,18,8,3,4,66.0,32.0,13.0,4,0,49.0,0.0,33.522222222222226,0.5369572422936691,0.23864766324163073,1.9688432217434535,0.9545906529665229,0.11932383162081536,0.0,1.4617169373549883,0.0
Germany,2021-09-02,Serge Gnabry,"FW,MF",0.0,0,0.0,0.0,0.0,2350,10,5,0,0,59.0,21.0,19.0,0,0,47.0,0.0,26.11111111111111,0.3829787234042553,0.19148936170212766,2.2595744680851064,0.8042553191489362,0.0,0.0,1.8,0.0
Germany,2021-09-02,Jamal Musiala,AM,0.0,0,0.0,0.0,0.0,2321,7,7,0,0,46.0,13.0,18.0,1,0,43.0,0.0,25.788888888888888,0.2714347264110297,0.2714347264110297,1.7837139164153384,0.5040930633347696,0.03877638948728996,0.0,1.6673847479534685,0.0
Germany,2021-09-02,Marco Reus,"FW,MF",0.0,0,0.0,0.0,0.0,246,2,5,0,0,12.0,7.0,4.0,0,0,1.0,0.0,2.7333333333333334,0.7317073170731707,1.829268292682927,4.390243902439025,2.5609756097560976,0.0,0.0,0.36585365853658536,0.0
Germany,2021-09-02,Joshua Kimmich,DM,0.0,0,0.0,0.0,0.0,4630,7,12,3,3,50.0,26.0,40.0,6,0,65.0,0.0,51.44444444444444,0.13606911447084233,0.23326133909287258,0.9719222462203024,0.5053995680345572,0.11663066954643629,0.0,1.263498920086393,0.0
Germany,2021-09-02,Florian Wirtz,"FW,MF",0.0,0,0.0,0.0,0.0,2023,8,6,0,0,35.0,14.0,17.0,4,0,36.0,0.0,22.477777777777778,0.35590706870983685,0.2669303015323777,1.5570934256055364,0.6228373702422145,0.17795353435491842,0.0,1.601581809194266,0.0
Germany,2021-09-02,İlkay Gündoğan,DM,0.0,0,0.0,0.0,0.0,2677,10,2,6,6,39.0,18.0,21.0,2,0,44.0,0.0,29.744444444444444,0.33619723571161747,0.0672394471423235,1.3111692192753082,0.6051550242809115,0.0672394471423235,0.0,1.479267837131117,0.0
Germany,2021-09-02,Leon Goretzka,MF,0.0,0,0.0,0.0,0.0,2092,3,7,0,0,48.0,15.0,19.0,1,0,44.0,0.0,23.244444444444444,0.12906309751434034,0.3011472275334608,2.0650095602294454,0.6453154875717018,0.043021032504780114,0.0,1.892925430210325,0.0
Germany,2021-09-02,Robin Gosens,LB,0.0,0,0.0,0.0,0.0,999,2,3,0,0,13.0,7.0,3.0,5,0,28.0,0.0,11.1,0.1801801801801802,0.2702702702702703,1.1711711711711712,0.6306306306306306,0.45045045045045046,0.0,2.5225225225225225,0.0
Germany,2021-09-02,Thilo Kehrer,CB,0.0,0,0.0,0.0,0.0,1448,0,0,0,0,4.0,0.0,18.0,4,0,16.0,0.0,16.08888888888889,0.0,0.0,0.24861878453038674,0.0,0.24861878453038674,0.0,0.994475138121547,0.0
Germany,2021-09-02,Niklas Süle,CB,0.0,0,0.0,0.0,0.0,1509,0,0,0,0,7.0,0.0,16.0,1,0,25.0,0.0,16.766666666666666,0.0,0.0,0.41749502982107356,0.0,0.05964214711729623,0.0,1.4910536779324057,0.0
Germany,2021-09-02,Ridle Baku,RB,0.0,0,0.0,0.0,0.0,188,1,0,0,0,5.0,2.0,3.0,0,0,1.0,0.0,2.088888888888889,0.4787234042553191,0.0,2.3936170212765955,0.9574468085106382,0.0,0.0,0.4787234042553191,0.0
Germany,2021-09-02,Jonas Hofmann,"FW,MF",0.0,0,0.0,0.0,0.0,1010,4,1,0,0,11.0,8.0,9.0,0,0,22.0,0.0,11.222222222222221,0.3564356435643565,0.08910891089108912,0.9801980198019803,0.712871287128713,0.0,0.0,1.9603960396039606,0.0
Germany,2021-09-02,Bernd Leno,GK,0.0,0,0.0,0.0,0.0,90,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,2021-09-05,Timo Werner,FW,0.0,0,0.0,0.0,0.0,1276,9,2,0,0,33.0,20.0,2.0,1,0,22.0,0.0,14.177777777777777,0.6347962382445141,0.14106583072100315,2.327586206896552,1.4106583072100314,0.07053291536050157,0.0,1.5517241379310345,0.0
Germany,2021-09-05,Leroy Sané,AM,0.0,0,0.0,0.0,0.0,2717,8,5,0,0,46.0,18.0,13.0,4,1,55.0,0.0,30.18888888888889,0.26499815973500185,0.16562384983437614,1.5237394184762605,0.5962458594037541,0.13249907986750092,0.03312476996687523,1.8218623481781375,0.0
Germany,2021-09-05,Jamal Musiala,"FW,MF",0.0,0,0.0,0.0,0.0,2321,7,7,0,0,46.0,13.0,18.0,1,0,43.0,0.0,25.788888888888888,0.2714347264110297,0.2714347264110297,1.7837139164153384,0.5040930633347696,0.03877638948728996,0.0,1.6673847479534685,0.0
Germany,2021-09-05,Marco Reus,AM,0.0,0,0.0,0.0,0.0,246,2,5,0,0,12.0,7.0,4.0,0,0,1.0,0.0,2.7333333333333334,0.7317073170731707,1.829268292682927,4.390243902439025,2.5609756097560976,0.0,0.0,0.36585365853658536,0.0
Germany,2021-09-05,Florian Wirtz,"FW,MF",0.0,0,0.0,0.0,0.0,2023,8,6,0,0,35.0,14.0,17.0,4,0,36.0,0.0,22.477777777777778,0.35590706870983685,0.2669303015323777,1.5570934256055364,0.6228373702422145,0.17795353435491842,0.0,1.601581809194266,0.0
Germany,2021-09-05,Serge Gnabry,AM,0.0,0,0.0,0.0,0.0,2350,10,5,0,0,59.0,21.0,19.0,0,0,47.0,0.0,26.11111111111111,0.3829787234042553,0.19148936170212766,2.2595744680851064,0.8042553191489362,0.0,0.0,1.8,0.0
Germany,2021-09-05,Karim Adeyemi,"FW,MF",0.0,0,0.0,0.0,0.0,340,1,1,0,0,14.0,4.0,3.0,4,0,12.0,0.0,3.7777777777777777,0.2647058823529412,0.2647058823529412,3.7058823529411766,1.0588235294117647,1.0588235294117647,0.0,3.1764705882352944,0.0
Germany,2021-09-05,Leon Goretzka,DM,0.0,0,0.0,0.0,0.0,2092,3,7,0,0,48.0,15.0,19.0,1,0,44.0,0.0,23.244444444444444,0.12906309751434034,0.3011472275334608,2.0650095602294454,0.6453154875717018,0.043021032504780114,0.0,1.892925430210325,0.0
Germany,2021-09-05,Joshua Kimmich,DM,0.0,0,0.0,0.0,0.0,4630,7,12,3,3,50.0,26.0,40.0,6,0,65.0,0.0,51.44444444444444,0.13606911447084233,0.23326133909287258,0.9719222462203024,0.5053995680345572,0.11663066954643629,0.0,1.263498920086393,0.0
Germany,2021-09-05,İlkay Gündoğan,MF,0.0,0,0.0,0.0,0.0,2677,10,2,6,6,39.0,18.0,21.0,2,0,44.0,0.0,29.744444444444444,0.33619723571161747,0.0672394471423235,1.3111692192753082,0.6051550242809115,0.0672394471423235,0.0,1.479267837131117,0.0
Germany,2021-09-05,Thilo Kehrer,LB,0.0,0,0.0,0.0,0.0,1448,0,0,0,0,4.0,0.0,18.0,4,0,16.0,0.0,16.08888888888889,0.0,0.0,0.24861878453038674,0.0,0.24861878453038674,0.0,0.994475138121547,0.0
Germany,2021-09-05,David Raum,"DF,MF",0.0,0,0.0,0.0,0.0,2109,1,6,0,0,10.0,2.0,29.0,5,0,37.0,0.0,23.433333333333334,0.04267425320056899,0.25604551920341395,0.4267425320056899,0.08534850640113797,0.21337126600284495,0.0,1.5789473684210527,0.0
Germany,2021-09-05,Antonio Rüdiger,CB,0.0,0,0.0,0.0,0.0,3825,2,2,0,0,28.0,6.0,19.0,11,0,54.0,0.0,42.5,0.047058823529411764,0.047058823529411764,0.6588235294117647,0.1411764705882353,0.25882352941176473,0.0,1.2705882352941176,0.0
Germany,2021-09-05,Niklas Süle,CB,0.0,0,0.0,0.0,0.0,1509,0,0,0,0,7.0,0.0,16.0,1,0,25.0,0.0,16.766666666666666,0.0,0.0,0.41749502982107356,0.0,0.05964214711729623,0.0,1.4910536779324057,0.0
Germany,2021-09-05,Jonas Hofmann,RB,0.0,0,0.0,0.0,0.0,1010,4,1,0,0,11.0,8.0,9.0,0,0,22.0,0.0,11.222222222222221,0.3564356435643565,0.08910891089108912,0.9801980198019803,0.712871287128713,0.0,0.0,1.9603960396039606,0.0
Germany,2021-09-05,Manuel Neuer,GK,0.0,0,100.0,0.0,0.0,2550,0,0,0,0,0.0,0.0,0.0,0,0,25.0,48.0,28.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764707,1.6941176470588235
Germany,2021-09-08,Timo Werner,FW,0.0,0,0.0,0.0,0.0,1276,9,2,0,0,33.0,20.0,2.0,1,0,22.0,0.0,14.177777777777777,0.6347962382445141,0.14106583072100315,2.327586206896552,1.4106583072100314,0.07053291536050157,0.0,1.5517241379310345,0.0
Germany,2021-09-08,Leroy Sané,AM,0.0,0,0.0,0.0,0.0,2717,8,5,0,0,46.0,18.0,13.0,4,1,55.0,0.0,30.18888888888889,0.26499815973500185,0.16562384983437614,1.5237394184762605,0.5962458594037541,0.13249907986750092,0.03312476996687523,1.8218623481781375,0.0
Germany,2021-09-08,Jamal Musiala,"FW,MF",0.0,0,0.0,0.0,0.0,2321,7,7,0,0,46.0,13.0,18.0,1,0,43.0,0.0,25.788888888888888,0.2714347264110297,0.2714347264110297,1.7837139164153384,0.5040930633347696,0.03877638948728996,0.0,1.6673847479534685,0.0
Germany,2021-09-08,İlkay Gündoğan,AM,0.0,0,0.0,0.0,0.0,2677,10,2,6,6,39.0,18.0,21.0,2,0,44.0,0.0,29.744444444444444,0.33619723571161747,0.0672394471423235,1.3111692192753082,0.6051550242809115,0.0672394471423235,0.0,1.479267837131117,0.0
Germany,2021-09-08,Serge Gnabry,AM,0.0,0,0.0,0.0,0.0,2350,10,5,0,0,59.0,21.0,19.0,0,0,47.0,0.0,26.11111111111111,0.3829787234042553,0.19148936170212766,2.2595744680851064,0.8042553191489362,0.0,0.0,1.8,0.0
Germany,2021-09-08,Kai Havertz,"FW,MF",0.0,0,0.0,0.0,0.0,3017,18,8,3,4,66.0,32.0,13.0,4,0,49.0,0.0,33.522222222222226,0.5369572422936691,0.23864766324163073,1.9688432217434535,0.9545906529665229,0.11932383162081536,0.0,1.4617169373549883,0.0
Germany,2021-09-08,Joshua Kimmich,DM,0.0,0,0.0,0.0,0.0,4630,7,12,3,3,50.0,26.0,40.0,6,0,65.0,0.0,51.44444444444444,0.13606911447084233,0.23326133909287258,0.9719222462203024,0.5053995680345572,0.11663066954643629,0.0,1.263498920086393,0.0
Germany,2021-09-08,Leon Goretzka,DM,0.0,0,0.0,0.0,0.0,2092,3,7,0,0,48.0,15.0,19.0,1,0,44.0,0.0,23.244444444444444,0.12906309751434034,0.3011472275334608,2.0650095602294454,0.6453154875717018,0.043021032504780114,0.0,1.892925430210325,0.0
Germany,2021-09-08,Florian Wirtz,"FW,MF",0.0,0,0.0,0.0,0.0,2023,8,6,0,0,35.0,14.0,17.0,4,0,36.0,0.0,22.477777777777778,0.35590706870983685,0.2669303015323777,1.5570934256055364,0.6228373702422145,0.17795353435491842,0.0,1.601581809194266,0.0
Germany,2021-09-08,Thilo Kehrer,LB,0.0,0,0.0,0.0,0.0,1448,0,0,0,0,4.0,0.0,18.0,4,0,16.0,0.0,16.08888888888889,0.0,0.0,0.24861878453038674,0.0,0.24861878453038674,0.0,0.994475138121547,0.0
Germany,2021-09-08,Niklas Süle,CB,0.0,0,0.0,0.0,0.0,1509,0,0,0,0,7.0,0.0,16.0,1,0,25.0,0.0,16.766666666666666,0.0,0.0,0.41749502982107356,0.0,0.05964214711729623,0.0,1.4910536779324057,0.0
Germany,2021-09-08,Robin Gosens,"DF,MF",0.0,0,0.0,0.0,0.0,999,2,3,0,0,13.0,7.0,3.0,5,0,28.0,0.0,11.1,0.1801801801801802,0.2702702702702703,1.1711711711711712,0.6306306306306306,0.45045045045045046,0.0,2.5225225225225225,0.0
Germany,2021-09-08,Antonio Rüdiger,CB,0.0,0,0.0,0.0,0.0,3825,2,2,0,0,28.0,6.0,19.0,11,0,54.0,0.0,42.5,0.047058823529411764,0.047058823529411764,0.6588235294117647,0.1411764705882353,0.25882352941176473,0.0,1.2705882352941176,0.0
Germany,2021-09-08,Jonas Hofmann,RB,0.0,0,0.0,0.0,0.0,1010,4,1,0,0,11.0,8.0,9.0,0,0,22.0,0.0,11.222222222222221,0.3564356435643565,0.08910891089108912,0.9801980198019803,0.712871287128713,0.0,0.0,1.9603960396039606,0.0
Germany,2021-09-08,Lukas Klostermann,"DF,MF",0.0,0,0.0,0.0,0.0,703,0,0,0,0,0.0,0.0,13.0,0,0,11.0,0.0,7.811111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.4082503556187767,0.0
Germany,2021-09-08,Manuel Neuer,GK,0.0,0,100.0,0.0,0.0,2550,0,0,0,0,0.0,0.0,0.0,0,0,25.0,48.0,28.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764707,1.6941176470588235
Germany,2021-10-08,Timo Werner,FW,0.0,0,0.0,0.0,0.0,1276,9,2,0,0,33.0,20.0,2.0,1,0,22.0,0.0,14.177777777777777,0.6347962382445141,0.14106583072100315,2.327586206896552,1.4106583072100314,0.07053291536050157,0.0,1.5517241379310345,0.0
Germany,2021-10-08,Thomas Müller,"FW,MF",0.0,0,0.0,0.0,0.0,1669,7,5,0,1,26.0,8.0,12.0,0,0,39.0,0.0,18.544444444444444,0.3774715398442181,0.2696225284601558,1.40203714799281,0.4313960455362493,0.0,0.0,2.103055721989215,0.0
Germany,2021-10-08,Leroy Sané,AM,0.0,0,0.0,0.0,0.0,2717,8,5,0,0,46.0,18.0,13.0,4,1,55.0,0.0,30.18888888888889,0.26499815973500185,0.16562384983437614,1.5237394184762605,0.5962458594037541,0.13249907986750092,0.03312476996687523,1.8218623481781375,0.0
Germany,2021-10-08,Karim Adeyemi,"FW,MF",0.0,0,0.0,0.0,0.0,340,1,1,0,0,14.0,4.0,3.0,4,0,12.0,0.0,3.7777777777777777,0.2647058823529412,0.2647058823529412,3.7058823529411766,1.0588235294117647,1.0588235294117647,0.0,3.1764705882352944,0.0
Germany,2021-10-08,Marco Reus,AM,0.0,0,0.0,0.0,0.0,246,2,5,0,0,12.0,7.0,4.0,0,0,1.0,0.0,2.7333333333333334,0.7317073170731707,1.829268292682927,4.390243902439025,2.5609756097560976,0.0,0.0,0.36585365853658536,0.0
Germany,2021-10-08,Kai Havertz,"FW,MF",0.0,0,0.0,0.0,0.0,3017,18,8,3,4,66.0,32.0,13.0,4,0,49.0,0.0,33.522222222222226,0.5369572422936691,0.23864766324163073,1.9688432217434535,0.9545906529665229,0.11932383162081536,0.0,1.4617169373549883,0.0
Germany,2021-10-08,Serge Gnabry,AM,0.0,0,0.0,0.0,0.0,2350,10,5,0,0,59.0,21.0,19.0,0,0,47.0,0.0,26.11111111111111,0.3829787234042553,0.19148936170212766,2.2595744680851064,0.8042553191489362,0.0,0.0,1.8,0.0
Germany,2021-10-08,Joshua Kimmich,DM,0.0,0,0.0,0.0,0.0,4630,7,12,3,3,50.0,26.0,40.0,6,0,65.0,0.0,51.44444444444444,0.13606911447084233,0.23326133909287258,0.9719222462203024,0.5053995680345572,0.11663066954643629,0.0,1.263498920086393,0.0
Germany,2021-10-08,Leon Goretzka,DM,0.0,0,0.0,0.0,0.0,2092,3,7,0,0,48.0,15.0,19.0,1,0,44.0,0.0,23.244444444444444,0.12906309751434034,0.3011472275334608,2.0650095602294454,0.6453154875717018,0.043021032504780114,0.0,1.892925430210325,0.0
Germany,2021-10-08,Thilo Kehrer,LB,0.0,0,0.0,0.0,0.0,1448,0,0,0,0,4.0,0.0,18.0,4,0,16.0,0.0,16.08888888888889,0.0,0.0,0.24861878453038674,0.0,0.24861878453038674,0.0,0.994475138121547,0.0
Germany,2021-10-08,Antonio Rüdiger,CB,0.0,0,0.0,0.0,0.0,3825,2,2,0,0,28.0,6.0,19.0,11,0,54.0,0.0,42.5,0.047058823529411764,0.047058823529411764,0.6588235294117647,0.1411764705882353,0.25882352941176473,0.0,1.2705882352941176,0.0
Germany,2021-10-08,Niklas Süle,CB,0.0,0,0.0,0.0,0.0,1509,0,0,0,0,7.0,0.0,16.0,1,0,25.0,0.0,16.766666666666666,0.0,0.0,0.41749502982107356,0.0,0.05964214711729623,0.0,1.4910536779324057,0.0
Germany,2021-10-08,Jonas Hofmann,RB,0.0,0,0.0,0.0,0.0,1010,4,1,0,0,11.0,8.0,9.0,0,0,22.0,0.0,11.222222222222221,0.3564356435643565,0.08910891089108912,0.9801980198019803,0.712871287128713,0.0,0.0,1.9603960396039606,0.0
Germany,2021-10-08,Lukas Klostermann,"DF,MF",0.0,0,0.0,0.0,0.0,703,0,0,0,0,0.0,0.0,13.0,0,0,11.0,0.0,7.811111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.4082503556187767,0.0
Germany,2021-10-08,Marc-André ter Stegen,GK,0.0,0,0.0,0.0,0.0,1665,0,0,0,0,0.0,0.0,0.0,0,0,28.0,22.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5135135135135136,1.1891891891891893
Germany,2021-10-11,Timo Werner,FW,0.0,0,0.0,0.0,0.0,1276,9,2,0,0,33.0,20.0,2.0,1,0,22.0,0.0,14.177777777777777,0.6347962382445141,0.14106583072100315,2.327586206896552,1.4106583072100314,0.07053291536050157,0.0,1.5517241379310345,0.0
Germany,2021-10-11,Jamal Musiala,"FW,MF",0.0,0,0.0,0.0,0.0,2321,7,7,0,0,46.0,13.0,18.0,1,0,43.0,0.0,25.788888888888888,0.2714347264110297,0.2714347264110297,1.7837139164153384,0.5040930633347696,0.03877638948728996,0.0,1.6673847479534685,0.0
Germany,2021-10-11,Kai Havertz,AM,0.0,0,0.0,0.0,0.0,3017,18,8,3,4,66.0,32.0,13.0,4,0,49.0,0.0,33.522222222222226,0.5369572422936691,0.23864766324163073,1.9688432217434535,0.9545906529665229,0.11932383162081536,0.0,1.4617169373549883,0.0
Germany,2021-10-11,Karim Adeyemi,"FW,MF",0.0,0,0.0,0.0,0.0,340,1,1,0,0,14.0,4.0,3.0,4,0,12.0,0.0,3.7777777777777777,0.2647058823529412,0.2647058823529412,3.7058823529411766,1.0588235294117647,1.0588235294117647,0.0,3.1764705882352944,0.0
Germany,2021-10-11,Thomas Müller,AM,0.0,0,0.0,0.0,0.0,1669,7,5,0,1,26.0,8.0,12.0,0,0,39.0,0.0,18.544444444444444,0.3774715398442181,0.2696225284601558,1.40203714799281,0.4313960455362493,0.0,0.0,2.103055721989215,0.0
Germany,2021-10-11,Florian Neuhaus,MF,0.0,0,0.0,0.0,0.0,261,1,1,0,0,4.0,2.0,3.0,1,0,3.0,0.0,2.9,0.3448275862068966,0.3448275862068966,1.3793103448275863,0.6896551724137931,0.3448275862068966,0.0,1.0344827586206897,0.0
Germany,2021-10-11,Serge Gnabry,AM,0.0,0,0.0,0.0,0.0,2350,10,5,0,0,59.0,21.0,19.0,0,0,47.0,0.0,26.11111111111111,0.3829787234042553,0.19148936170212766,2.2595744680851064,0.8042553191489362,0.0,0.0,1.8,0.0
Germany,2021-10-11,Jonas Hofmann,"FW,MF",0.0,0,0.0,0.0,0.0,1010,4,1,0,0,11.0,8.0,9.0,0,0,22.0,0.0,11.222222222222221,0.3564356435643565,0.08910891089108912,0.9801980198019803,0.712871287128713,0.0,0.0,1.9603960396039606,0.0
Germany,2021-10-11,Joshua Kimmich,DM,0.0,0,0.0,0.0,0.0,4630,7,12,3,3,50.0,26.0,40.0,6,0,65.0,0.0,51.44444444444444,0.13606911447084233,0.23326133909287258,0.9719222462203024,0.5053995680345572,0.11663066954643629,0.0,1.263498920086393,0.0
Germany,2021-10-11,Leon Goretzka,DM,0.0,0,0.0,0.0,0.0,2092,3,7,0,0,48.0,15.0,19.0,1,0,44.0,0.0,23.244444444444444,0.12906309751434034,0.3011472275334608,2.0650095602294454,0.6453154875717018,0.043021032504780114,0.0,1.892925430210325,0.0
Germany,2021-10-11,Florian Wirtz,"FW,MF",0.0,0,0.0,0.0,0.0,2023,8,6,0,0,35.0,14.0,17.0,4,0,36.0,0.0,22.477777777777778,0.35590706870983685,0.2669303015323777,1.5570934256055364,0.6228373702422145,0.17795353435491842,0.0,1.601581809194266,0.0
Germany,2021-10-11,David Raum,LB,0.0,0,0.0,0.0,0.0,2109,1,6,0,0,10.0,2.0,29.0,5,0,37.0,0.0,23.433333333333334,0.04267425320056899,0.25604551920341395,0.4267425320056899,0.08534850640113797,0.21337126600284495,0.0,1.5789473684210527,0.0
Germany,2021-10-11,Thilo Kehrer,CB,0.0,0,0.0,0.0,0.0,1448,0,0,0,0,4.0,0.0,18.0,4,0,16.0,0.0,16.08888888888889,0.0,0.0,0.24861878453038674,0.0,0.24861878453038674,0.0,0.994475138121547,0.0
Germany,2021-10-11,Niklas Süle,CB,0.0,0,0.0,0.0,0.0,1509,0,0,0,0,7.0,0.0,16.0,1,0,25.0,0.0,16.766666666666666,0.0,0.0,0.41749502982107356,0.0,0.05964214711729623,0.0,1.4910536779324057,0.0
Germany,2021-10-11,Lukas Klostermann,RB,0.0,0,0.0,0.0,0.0,703,0,0,0,0,0.0,0.0,13.0,0,0,11.0,0.0,7.811111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.4082503556187767,0.0
Germany,2021-10-11,Manuel Neuer,GK,0.0,0,100.0,0.0,0.0,2550,0,0,0,0,0.0,0.0,0.0,0,0,25.0,48.0,28.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764707,1.6941176470588235
Germany,2021-11-11,Thomas Müller,FW,0.0,0,0.0,0.0,0.0,1669,7,5,0,1,26.0,8.0,12.0,0,0,39.0,0.0,18.544444444444444,0.3774715398442181,0.2696225284601558,1.40203714799281,0.4313960455362493,0.0,0.0,2.103055721989215,0.0
Germany,2021-11-11,Leroy Sané,AM,0.0,0,0.0,0.0,0.0,2717,8,5,0,0,46.0,18.0,13.0,4,1,55.0,0.0,30.18888888888889,0.26499815973500185,0.16562384983437614,1.5237394184762605,0.5962458594037541,0.13249907986750092,0.03312476996687523,1.8218623481781375,0.0
Germany,2021-11-11,Kevin Volland,"FW,MF",0.0,0,0.0,0.0,0.0,69,0,0,0,0,2.0,0.0,1.0,0,0,5.0,0.0,0.7666666666666667,0.0,0.0,2.608695652173913,0.0,0.0,0.0,6.521739130434782,0.0
Germany,2021-11-11,Marco Reus,AM,0.0,0,0.0,0.0,0.0,246,2,5,0,0,12.0,7.0,4.0,0,0,1.0,0.0,2.7333333333333334,0.7317073170731707,1.829268292682927,4.390243902439025,2.5609756097560976,0.0,0.0,0.36585365853658536,0.0
Germany,2021-11-11,Ridle Baku,AM,0.0,0,0.0,0.0,0.0,188,1,0,0,0,5.0,2.0,3.0,0,0,1.0,0.0,2.088888888888889,0.4787234042553191,0.0,2.3936170212765955,0.9574468085106382,0.0,0.0,0.4787234042553191,0.0
Germany,2021-11-11,İlkay Gündoğan,DM,0.0,0,0.0,0.0,0.0,2677,10,2,6,6,39.0,18.0,21.0,2,0,44.0,0.0,29.744444444444444,0.33619723571161747,0.0672394471423235,1.3111692192753082,0.6051550242809115,0.0672394471423235,0.0,1.479267837131117,0.0
Germany,2021-11-11,Maximilian Arnold,MF,0.0,0,0.0,0.0,0.0,58,0,0,0,0,2.0,2.0,2.0,1,0,1.0,0.0,0.6444444444444445,0.0,0.0,3.103448275862069,3.103448275862069,1.5517241379310345,0.0,1.5517241379310345,0.0
Germany,2021-11-11,Leon Goretzka,DM,0.0,0,0.0,0.0,0.0,2092,3,7,0,0,48.0,15.0,19.0,1,0,44.0,0.0,23.244444444444444,0.12906309751434034,0.3011472275334608,2.0650095602294454,0.6453154875717018,0.043021032504780114,0.0,1.892925430210325,0.0
Germany,2021-11-11,Florian Neuhaus,MF,0.0,0,0.0,0.0,0.0,261,1,1,0,0,4.0,2.0,3.0,1,0,3.0,0.0,2.9,0.3448275862068966,0.3448275862068966,1.3793103448275863,0.6896551724137931,0.3448275862068966,0.0,1.0344827586206897,0.0
Germany,2021-11-11,Christian Günter,LB,0.0,0,0.0,0.0,0.0,233,0,0,0,0,0.0,0.0,1.0,0,0,6.0,0.0,2.588888888888889,0.0,0.0,0.0,0.0,0.0,0.0,2.317596566523605,0.0
Germany,2021-11-11,Antonio Rüdiger,CB,0.0,0,0.0,0.0,0.0,3825,2,2,0,0,28.0,6.0,19.0,11,0,54.0,0.0,42.5,0.047058823529411764,0.047058823529411764,0.6588235294117647,0.1411764705882353,0.25882352941176473,0.0,1.2705882352941176,0.0
Germany,2021-11-11,Thilo Kehrer,CB,0.0,0,0.0,0.0,0.0,1448,0,0,0,0,4.0,0.0,18.0,4,0,16.0,0.0,16.08888888888889,0.0,0.0,0.24861878453038674,0.0,0.24861878453038674,0.0,0.994475138121547,0.0
Germany,2021-11-11,Matthias Ginter,"DF,MF",0.0,0,0.0,0.0,0.0,1217,0,0,0,0,5.0,2.0,9.0,2,0,20.0,0.0,13.522222222222222,0.0,0.0,0.3697617091207888,0.14790468364831552,0.14790468364831552,0.0,1.4790468364831553,0.0
Germany,2021-11-11,Jonas Hofmann,RB,0.0,0,0.0,0.0,0.0,1010,4,1,0,0,11.0,8.0,9.0,0,0,22.0,0.0,11.222222222222221,0.3564356435643565,0.08910891089108912,0.9801980198019803,0.712871287128713,0.0,0.0,1.9603960396039606,0.0
Germany,2021-11-11,Lukas Nmecha,FW,0.0,0,0.0,0.0,0.0,126,0,0,0,0,8.0,1.0,1.0,0,0,6.0,0.0,1.4,0.0,0.0,5.714285714285714,0.7142857142857143,0.0,0.0,4.285714285714286,0.0
Germany,2021-11-11,Manuel Neuer,GK,0.0,0,0.0,0.0,0.0,2550,0,0,0,0,0.0,0.0,0.0,0,0,25.0,48.0,28.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764707,1.6941176470588235
Germany,2021-11-14,Kai Havertz,FW,0.0,0,0.0,0.0,0.0,3017,18,8,3,4,66.0,32.0,13.0,4,0,49.0,0.0,33.522222222222226,0.5369572422936691,0.23864766324163073,1.9688432217434535,0.9545906529665229,0.11932383162081536,0.0,1.4617169373549883,0.0
Germany,2021-11-14,Thomas Müller,FW,0.0,0,0.0,0.0,0.0,1669,7,5,0,1,26.0,8.0,12.0,0,0,39.0,0.0,18.544444444444444,0.3774715398442181,0.2696225284601558,1.40203714799281,0.4313960455362493,0.0,0.0,2.103055721989215,0.0
Germany,2021-11-14,Lukas Nmecha,FW,0.0,0,0.0,0.0,0.0,126,0,0,0,0,8.0,1.0,1.0,0,0,6.0,0.0,1.4,0.0,0.0,5.714285714285714,0.7142857142857143,0.0,0.0,4.285714285714286,0.0
Germany,2021-11-14,Florian Neuhaus,LM,0.0,0,0.0,0.0,0.0,261,1,1,0,0,4.0,2.0,3.0,1,0,3.0,0.0,2.9,0.3448275862068966,0.3448275862068966,1.3793103448275863,0.6896551724137931,0.3448275862068966,0.0,1.0344827586206897,0.0
